num_expediente,dia_hora,cod_distrito,distrito,tipo_accidente,estado_meteorológico,tipo_vehiculo,tipo_persona
2021S022346,2021-11-26 14:00:00,15.0,CIUDAD LINEAL,Choque contra obstáculo fijo,Despejado,Turismo,Conductor
2021S022347,2021-11-14 03:00:00,14.0,MORATALAZ,Choque contra obstáculo fijo,Despejado,Turismo,Conductor
2021S022347,2021-11-14 03:00:00,14.0,MORATALAZ,Choque contra obstáculo fijo,Despejado,Turismo,Conductor
2021S022347,2021-11-14 03:00:00,14.0,MORATALAZ,Choque contra obstáculo fijo,Despejado,Turismo,Conductor
2021S022347,2021-11-14 03:00:00,14.0,MORATALAZ,Choque contra obstáculo fijo,Despejado,Turismo,Conductor
2021S022349,2021-11-25 18:00:00,6.0,TETUÁN,Colisión fronto-lateral,Despejado,Motocicleta > 125cc,Conductor
2021S022349,2021-11-25 18:00:00,6.0,TETUÁN,Colisión fronto-lateral,Despejado,Turismo,Conductor
2021S022350,2021-11-26 16:00:00,15.0,CIUDAD LINEAL,Colisión fronto-lateral,Despejado,Motocicleta hasta 125cc,Conductor
2021S022350,2021-11-26 16:00:00,15.0,CIUDAD LINEAL,Colisión fronto-lateral,Despejado,Turismo,Conductor
2021S022352,2021-11-26 17:00:00,16.0,HORTALEZA,Colisión fronto-lateral,Despejado,Motocicleta > 125cc,Conductor
2021S022352,2021-11-26 17:00:00,16.0,HORTALEZA,Colisión fronto-lateral,Despejado,Turismo,Conductor
2021S022353,2021-11-26 14:00:00,9.0,MONCLOA-ARAVACA,Alcance,Despejado,Autobús,Conductor
2021S022353,2021-11-26 14:00:00,9.0,MONCLOA-ARAVACA,Alcance,Despejado,Turismo,Conductor
2021S022354,2021-11-26 14:00:00,20.0,SAN BLAS-CANILLEJAS,Caída,Despejado,Ciclomotor,Conductor
2021S022355,2021-11-26 15:00:00,9.0,MONCLOA-ARAVACA,Alcance,Despejado,Turismo,Conductor
